,entidad,nom_ent,mun,nom_mun,p_total,pob_edo,prop_pob_mun
0,9,Distrito Federal,7,Iztapalapa,3641776,17442464,0.2087879327140936
1,15,México,33,Ecatepec de Morelos,3376516,28021837,0.12049588326418428
2,14,Jalisco,39,Guadalajara,3201894,13532532,0.23660716265071458
3,21,Puebla,114,Puebla,2972009,10774602,0.27583468976394676
4,2,Baja California,4,Tijuana,2822401,5700434,0.49512037153662336
5,8,Chihuahua,37,Juárez,2627738,6519870,0.40303533659413454
6,11,Guanajuato,20,León,2557677,9805461,0.26084209605239367
7,9,Distrito Federal,5,Gustavo A. Madero,2386322,17442464,0.13681106063913906
8,14,Jalisco,120,Zapopan,2311993,13532532,0.1708470373467434
9,15,México,58,Nezahualcóyotl,2284880,28021837,0.08153926525231019
10,19,Nuevo León,39,Monterrey,2267640,8412172,0.26956652812139364
11,2,Baja California,2,Mexicali,1716250,5700434,0.30107356738100993
12,15,México,57,Naucalpan de Juárez,1642909,28021837,0.05862959662494647
13,25,Sinaloa,6,Culiacán,1590065,5233792,0.30380744974198437
14,31,Yucatán,50,Mérida,1562695,3643791,0.4288651571948007
15,8,Chihuahua,19,Chihuahua,1518284,6519870,0.23287028729100426
16,15,México,106,Toluca,1495048,28021837,0.05335296183472911
17,22,Querétaro Arteaga,14,Querétaro,1468747,3201198,0.4588116698810883
18,24,San Luis Potosí,28,San Luis Potosí,1463575,4836504,0.3026101084585064
19,1,Aguascalientes,1,Aguascalientes,1448662,2137856,0.6776237501496827
20,12,Guerrero,1,Acapulco de Juárez,1435869,6243181,0.2299899682549649
21,9,Distrito Federal,10,Álvaro Obregón,1413162,17442464,0.08101848454438547
22,26,Sonora,30,Hermosillo,1406380,4811876,0.2922727019565758
23,19,Nuevo León,26,Guadalupe,1383896,8412172,0.16451113933476397
24,16,Michoacán de Ocampo,53,Morelia,1368518,7953344,0.17206825204593187
25,15,México,104,Tlalnepantla de Baz,1367616,28021837,0.04880536561539488
26,5,Coahuila de Zaragoza,30,Saltillo,1298531,5001962,0.25960433126041343
27,9,Distrito Federal,3,Coyoacán,1256126,17442464,0.07201539874182913
28,9,Distrito Federal,12,Tlalpan,1215347,17442464,0.0696774836399261
29,5,Coahuila de Zaragoza,35,Torreón,1155159,5001962,0.2309411786814854
30,23,Quintana Roo,5,Benito Juárez,1147414,2277710,0.5037577215712272
31,14,Jalisco,98,Tlaquepaque,1126092,13532532,0.08321369570749952
32,27,Tabasco,4,Centro,1117093,3982364,0.2805100186723263
33,10,Durango,5,Durango,1055216,3036271,0.3475368305398299
34,28,Tamaulipas,32,Reynosa,1055212,6069690,0.17384940581808955
35,15,México,31,Chimalhuacán,1050814,28021837,0.03749982558245557
36,9,Distrito Federal,15,Cuauhtémoc,1042696,17442464,0.059779168814681226
37,30,Veracruz de Ignacio de la Llave,193,Veracruz,1024804,14264380,0.07184357118921397
38,7,Chiapas,101,Tuxtla Gutiérrez,1007058,8641538,0.11653689424266837
39,15,México,121,Cuautitlán Izcalli,996042,28021837,0.03554520711829135
40,19,Nuevo León,46,San Nicolás de los Garza,953522,8412172,0.11335027386506125
41,15,México,109,Tultitlán,945734,28021837,0.03374989298524576
42,15,México,13,Atizapán de Zaragoza,945083,28021837,0.033726661103624295
43,11,Guanajuato,17,Irapuato,927385,9805461,0.0945784191074749
44,28,Tamaulipas,22,Matamoros,926953,6069690,0.15271834311142743
45,9,Distrito Federal,17,Venustiano Carranza,894918,17442464,0.05130685664594176
46,15,México,39,Ixtapaluca,858152,28021837,0.030624401961941324
47,9,Distrito Federal,2,Azcapotzalco,850596,17442464,0.04876581657270441
48,19,Nuevo León,6,Apodaca,837755,8412172,0.09958842971827014
49,11,Guanajuato,7,Celaya,832408,9805461,0.08489228604346089
50,2,Baja California,1,Ensenada,831709,5700434,0.14590275056250104
51,30,Veracruz de Ignacio de la Llave,87,Xalapa,826359,14264380,0.05793164511882044
52,14,Jalisco,101,Tonalá,817534,13532532,0.0604124933900027
53,25,Sinaloa,12,Mazatlán,810389,5233792,0.15483783077355767
54,9,Distrito Federal,13,Xochimilco,809053,17442464,0.04638410031977133
55,9,Distrito Federal,6,Iztacalco,790050,17442464,0.04529463268492342
56,25,Sinaloa,1,Ahome,779295,5233792,0.14889682280075325
57,26,Sonora,18,Cajeme,754715,4811876,0.15684423289378197
58,28,Tamaulipas,27,Nuevo Laredo,711801,6069690,0.11727139277294228
59,9,Distrito Federal,14,Benito Juárez,710034,17442464,0.040707207422070645
60,9,Distrito Federal,16,Miguel Hidalgo,707068,17442464,0.04053716263940691
61,17,Morelos,7,Cuernavaca,698255,3230988,0.21611191375517333
62,9,Distrito Federal,11,Tláhuac,688245,17442464,0.039458014647471826
63,18,Nayarit,17,Tepic,673268,1907068,0.35303827655857056
64,15,México,122,Valle de Chalco Solidaridad,664572,28021837,0.023716218176559944
65,15,México,60,Nicolás Romero,613048,28021837,0.021877509315324332
66,10,Durango,7,Gómez Palacio,609881,3036271,0.2008651401670009
67,28,Tamaulipas,38,Tampico,607854,6069690,0.10014580645799044
68,19,Nuevo León,21,Gral. Escobedo,598792,8412172,0.07118161635306554
69,28,Tamaulipas,41,Victoria,586768,6069690,0.0966718234374408
70,15,México,20,Coacalco de Berriozábal,571902,28021837,0.020409154474776224
71,7,Chiapas,89,Tapachula,565863,8641538,0.06548174642060245
72,30,Veracruz de Ignacio de la Llave,39,Coatzacoalcos,562039,14264380,0.039401572308084894
73,16,Michoacán de Ocampo,102,Uruapan,558904,7953344,0.07027283115127424
74,13,Hidalgo,48,Pachuca de Soto,551161,4694746,0.11739953556592839
75,25,Sinaloa,11,Guasave,541572,5233792,0.10347602655971043
76,15,México,81,Tecámac,541216,28021837,0.019314079944152126
77,20,Oaxaca,67,Oaxaca de Juárez,530034,7026438,0.07543423851459302
78,21,Puebla,156,Tehuacán,522057,10774602,0.048452555370490716
79,19,Nuevo León,48,Santa Catarina,519894,8412172,0.06180258796420235
80,15,México,25,Chalco,514853,28021837,0.018373277954618034
81,4,Campeche,2,Campeche,479171,1518965,0.31545888154104934
82,11,Guanajuato,27,Salamanca,467995,9805461,0.047727995654666316
83,15,México,70,La Paz,465092,28021837,0.01659748431196713
84,9,Distrito Federal,8,La Magdalena Contreras,457859,17442464,0.026249674357934752
85,24,San Luis Potosí,35,Soledad de Graciano Sánchez,454084,4836504,0.09388682403653548
86,15,México,37,Huixquilucan,448104,28021837,0.0159912428296546
87,3,Baja California Sur,3,La Paz,442149,1032992,0.4280275161859918
88,14,Jalisco,97,Tlajomulco de Zúñiga,441875,13532532,0.03265279550050205
89,23,Quintana Roo,4,Othón P. Blanco,441110,2277710,0.19366381145975564
90,14,Jalisco,67,Puerto Vallarta,440926,13532532,0.032582668195427135
91,27,Tabasco,2,Cárdenas,439181,3982364,0.11028148104994923
92,12,Guerrero,29,Chilpancingo de los Bravo,428665,6243181,0.06866131223810426
93,15,México,99,Texcoco,418689,28021837,0.01494152578219622
94,22,Querétaro Arteaga,16,San Juan del Río,417830,3201198,0.13052301044796355
95,15,México,54,Metepec,412010,28021837,0.014703175955238052
96,4,Campeche,3,Carmen,403184,1518965,0.26543337074916146
97,5,Coahuila de Zaragoza,18,Monclova,401242,5001962,0.0802169228794621
98,32,Zacatecas,10,Fresnillo,394667,2745469,0.14375212395404938
99,26,Sonora,43,Nogales,389019,4811876,0.08084559951253939
100,28,Tamaulipas,9,Ciudad Madero,386090,6069690,0.06360950888760382
101,30,Veracruz de Ignacio de la Llave,44,Córdoba,373287,14264380,0.02616917104003118
102,30,Veracruz de Ignacio de la Llave,131,Poza Rica de Hidalgo,362970,14264380,0.02544590090841663
103,17,Morelos,11,Jiutepec,362634,3230988,0.11223625714487333
104,27,Tabasco,5,Comalcalco,347560,3982364,0.08727479456925585
105,9,Distrito Federal,4,Cuajimalpa de Morelos,347273,17442464,0.019909629740385303
106,7,Chiapas,59,Ocosingo,343820,8641538,0.039786899045054246
107,16,Michoacán de Ocampo,108,Zamora,341661,7953344,0.042958156971457544
108,15,México,29,Chicoloapan,340084,28021837,0.012136392057380107
109,7,Chiapas,78,San Cristóbal de las Casas,333360,8641538,0.03857646636513084
110,3,Baja California Sur,8,Los Cabos,329325,1032992,0.3188069220284378
111,27,Tabasco,8,Huimanguillo,327351,3982364,0.0822001705519636
112,28,Tamaulipas,3,Altamira,326925,6069690,0.053861894100028174
113,16,Michoacán de Ocampo,52,Lázaro Cárdenas,326364,7953344,0.041034815041320984
114,17,Morelos,6,Cuautla,320624,3230988,0.09923404234246615
115,26,Sonora,55,San Luis Río Colorado,315395,4811876,0.06554512211037858
116,24,San Luis Potosí,13,Ciudad Valles,315017,4836504,0.06513320365288647
117,11,Guanajuato,15,Guanajuato,307053,9805461,0.03131448893631824
118,30,Veracruz de Ignacio de la Llave,124,Papantla,306391,14264380,0.02147944740675725
119,30,Veracruz de Ignacio de la Llave,108,Minatitlán,304309,14264380,0.02133348943311942
120,30,Veracruz de Ignacio de la Llave,141,San Andrés Tuxtla,297238,14264380,0.02083777913936673
121,11,Guanajuato,37,Silao,295157,9805461,0.030101287435644282
122,26,Sonora,42,Navojoa,290037,4811876,0.06027524400046884
123,20,Oaxaca,184,San Juan Bautista Tuxtepec,289446,7026438,0.04119384530255586
124,19,Nuevo León,31,Juárez,288986,8412172,0.03435331564784933
125,5,Coahuila de Zaragoza,25,Piedras Negras,288902,5001962,0.05775773586444679
126,27,Tabasco,12,Macuspana,285950,3982364,0.07180408420726986
127,30,Veracruz de Ignacio de la Llave,28,Boca del Río,283822,14264380,0.019897254559959845
128,14,Jalisco,53,Lagos de Moreno,281294,13532532,0.0207865017426155
129,11,Guanajuato,3,San Miguel de Allende,279581,9805461,0.02851278486549485
130,11,Guanajuato,23,Pénjamo,277392,9805461,0.02828954191954871
131,6,Colima,7,Manzanillo,276738,1140082,0.2427351716806335
132,23,Quintana Roo,8,Solidaridad,273682,2277710,0.12015664856368896
133,16,Michoacán de Ocampo,112,Zitácuaro,273119,7953344,0.034340146735762966
134,15,México,118,Zinacantepec,272358,28021837,0.009719491266757422
135,25,Sinaloa,18,Navolato,272160,5233792,0.05200053804201619
136,8,Chihuahua,17,Cuauhtémoc,270274,6519870,0.04145389401935928
137,11,Guanajuato,14,Dolores Hidalgo Cuna de la Independencia Nal.,270225,9805461,0.02755862268994798
138,30,Veracruz de Ignacio de la Llave,189,Túxpam,269938,14264380,0.018923920983596902
139,26,Sonora,29,Guaymas,269445,4811876,0.05599583197904518
140,6,Colima,2,Colima,264977,1140082,0.23241924703661668
141,32,Zacatecas,56,Zacatecas,264258,2745469,0.09625240714792263
142,21,Puebla,132,San Martín Texmelucan,260670,10774602,0.02419300499452323
143,13,Hidalgo,77,Tulancingo de Bravo,259898,4694746,0.055359331473949815
144,32,Zacatecas,17,Guadalupe,259013,2745469,0.09434198674252013
145,10,Durango,12,Lerdo,258939,3036271,0.08528191324160458
146,12,Guerrero,35,Iguala de la Independencia,257320,6243181,0.04121616848846766
147,11,Guanajuato,42,Valle de Santiago,256200,9805461,0.026128297282504105
148,15,México,120,Zumpango,256099,28021837,0.009139265209486444
149,8,Chihuahua,21,Delicias,255550,6519870,0.03919556678277328
150,14,Jalisco,93,Tepatitlán de Morelos,253928,13532532,0.018764263775618635
151,15,México,42,Ixtlahuaca,253010,28021837,0.00902902975276032
152,5,Coahuila de Zaragoza,2,Acuña,252782,5001962,0.05053656945014776
153,15,México,5,Almoloya de Juárez,252366,28021837,0.00900604767631758
154,21,Puebla,19,Atlixco,244574,10774602,0.022699121508154084
155,19,Nuevo León,19,San Pedro Garza García,244050,8412172,0.02901153233671399
156,7,Chiapas,19,Comitán de Domínguez,242938,8641538,0.028112819731857915
157,30,Veracruz de Ignacio de la Llave,118,Orizaba,234586,14264380,0.016445579828916503
158,9,Distrito Federal,9,Milpa Alta,231939,17442464,0.013297375875335044
159,13,Hidalgo,28,Huejutla de Reyes,231629,4694746,0.04933791945293739
160,16,Michoacán de Ocampo,6,Apatzingán,230817,7953344,0.029021377674598257
161,21,Puebla,140,San Pedro Cholula,226893,10774602,0.021058132820126443
