,entidad,nom_ent,mun,nom_mun,pobtot,pob_edo,prop_pob_mun
0,9,Distrito Federal,7,Iztapalapa,3631572,17702719,0.20514204625854368
1,15,México,33,Ecatepec de Morelos,3312214,30357152,0.10910819302153245
2,2,Baja California,4,Tijuana,3120719,6322359,0.4936004108593011
3,21,Puebla,114,Puebla,3079704,11567088,0.2662471315165926
4,14,Jalisco,39,Guadalajara,2990378,14729215,0.20302358272317975
5,11,Guanajuato,20,León,2875893,10990840,0.2616627118582383
6,8,Chihuahua,37,Juárez,2664951,6847912,0.38916256517315057
7,14,Jalisco,120,Zapopan,2488279,14729215,0.16893493645112792
8,9,Distrito Federal,5,Gustavo A. Madero,2371544,17702719,0.1339649575864589
9,19,Nuevo León,39,Monterrey,2271138,9320338,0.24367549760534435
10,15,México,58,Nezahualcóyotl,2224439,30357152,0.07327561557816754
11,2,Baja California,2,Mexicali,1877927,6322359,0.2970294790283184
12,25,Sinaloa,6,Culiacán,1720092,5550954,0.309873221792146
13,15,México,57,Naucalpan de Juárez,1667572,30357152,0.054931766985256064
14,31,Yucatán,50,Mérida,1661805,3916927,0.42426243838601024
15,8,Chihuahua,19,Chihuahua,1639804,6847912,0.23946043699159686
16,15,México,106,Toluca,1639131,30357152,0.05399488726742219
17,22,Querétaro,14,Querétaro,1604268,3660138,0.43830806379431597
18,1,Aguascalientes,1,Aguascalientes,1595820,2376187,0.6715885576345633
19,12,Guerrero,1,Acapulco de Juárez,1580291,6789085,0.2327693643546958
20,26,Sonora,30,Hermosillo,1571516,5346581,0.29392914836603057
21,24,San Luis Potosí,28,San Luis Potosí,1545526,5184349,0.2981138036810408
22,16,Michoacán de Ocampo,53,Morelia,1458876,8722733,0.1672498745519323
23,9,Distrito Federal,10,Álvaro Obregón,1454068,17702719,0.08213811674918413
24,5,Coahuila de Zaragoza,30,Saltillo,1450761,5506909,0.26344379396863105
25,19,Nuevo León,26,Guadalupe,1356050,9320338,0.1454936505521581
26,15,México,104,Tlalnepantla de Baz,1328450,30357152,0.04376069270266196
27,23,Quintana Roo,5,Benito Juárez,1323214,2656424,0.49811852324779476
28,9,Distrito Federal,12,Tlalpan,1301353,17702719,0.07351147583600011
29,27,Tabasco,4,Centro,1280775,4479437,0.2859232086532303
30,5,Coahuila de Zaragoza,35,Torreón,1279382,5506909,0.23232306907559214
31,9,Distrito Federal,3,Coyoacán,1240832,17702719,0.07009273547187864
32,15,México,31,Chimalhuacán,1228909,30357152,0.04048169604315978
33,28,Tamaulipas,32,Reynosa,1218934,6556450,0.1859137185519603
34,14,Jalisco,98,Tlaquepaque,1216264,14729215,0.08257493695353078
35,10,Durango,5,Durango,1166060,3281041,0.35539330352775234
36,7,Chiapas,101,Tuxtla Gutiérrez,1107144,9645256,0.11478637788359376
37,30,Veracruz de Ignacio de la Llave,193,Veracruz,1104464,15332413,0.07203458451060508
38,9,Distrito Federal,15,Cuauhtémoc,1063662,17702719,0.060084668349534326
39,11,Guanajuato,17,Irapuato,1059964,10990840,0.09644067241448333
40,19,Nuevo León,6,Apodaca,1046891,9320338,0.11232328698808992
41,15,México,121,Cuautitlán Izcalli,1023350,30357152,0.03371034278841441
42,28,Tamaulipas,22,Matamoros,980404,6556450,0.14953275019255846
43,15,México,13,Atizapán de Zaragoza,979884,30357152,0.03227852204317454
44,15,México,109,Tultitlán,973997,30357152,0.032084597395697724
